Sample ID,1-O-Palmitoyl-Cer(d18:1/18:0),24-Hydroxycholesterol,24-Hydroxycholesterol(d7),3-O-SulfoLacCer(d18:1/18:0),4-beta-Hydroxycholesterol,7-keto-Cholesterol,CE HETE,CE HODE,CE HpODE,CE oxoHETE,CE oxoODE,CE(16:1),CE(18:1(d7)),CE(18:1),CE(18:2),CE(20:4),CE(20:5),CE(22:6),Cer(d18:0/16:0),Cer(d18:0/18:0),Cer(d18:0/24:0),Cer(d18:0/24:1),Cer(d18:1/16:0(d7)),Cer(d18:1/16:0),Cer(d18:1/18:0),Cer(d18:1/24:0),Cer(d18:1/24:1),Cholesterol,Cholesterol(d7),Cholesteryl hexoside,Coenzyme Q10,DG(15:0/18:1(d7)),DG(16:0_18:1),DG(16:0_20:4),DG(18:0_18:1),DG(18:0_20:4),DG(18:0_22:6),DG(18:1/18:1),DG(18:1_20:4),GB3(d18:1/16:0),GB3(d18:1/18:0(d3)),GB3(d18:1/18:0),GB3(d18:1/24:0),GB3(d18:1/24:1),GlcCer(d18:1(d5)/18:0),GlcCer(d18:1/16:0(d3)),Glucosylsphingosine(d5),HexCer(d18:1/12:0),HexCer(d18:1/16:0),HexCer(d18:1/18:0),HexCer(d18:1/22:0),HexCer(d18:1/24:0),HexCer(d18:1/24:1),Hexosylsphingosine,LPC(16:0),LPC(16:1),LPC(18:0),LPC(18:1(d7)),LPC(18:1),LPC(20:4),LPC(22:6),LPC(24:0),LPC(24:1),LPC(26:0),LPC(26:1),LacCer(d18:1/16:0),LacCer(d18:1/17:0),LacCer(d18:1/18:0),LacCer(d18:1/24:0),LacCer(d18:1/24:1),Lactosylsphingosine,MG(16:0),MG(16:1),MG(18:0),MG(18:1(d7)),MG(18:1),MG(20:4),N-Oleoylethanolamine,N-Palmitoyl-O-phosphocholineserine,PC(15:0/18:1(d7)),PC(16:0/5:0(CHO)),PC(16:0/9:0(CHO)),PC(16:0/9:0(COOH)),PC(18:0/20:4(OH[S])),PC(18:0/20:4(OOH[S])),PC(34:1),PC(36:1),PC(36:2),PC(36:4),PC(38:4),PC(38:6),PC(40:5),PC(40:6),PC(O-16:0/0:0),PC(O-16:0/2:0),PC(O-18:0/2:0),PE(15:0/18:1(d7)),PE(18:0/20:4(OH[S])),PE(18:0/20:4(OOH[S])),PE(34:1),PE(36:1),PE(36:2),PE(36:4),PE(38:4),PE(38:5),PE(38:6),PE(40:4),PE(40:5),PE(40:6),PE(40:7),Palmitoylethanolamine,SM(d18:1(d9)/18:1),SM(d18:1/16:0),SM(d18:1/18:0),SM(d18:1/24:0),SM(d18:1/24:1),Sitosteryl hexoside,Sphinganine,Sphinganine 1-phosphate,Sphingosine,Sphingosine 1-phosphate,Sphingosine 1-phosphate-d7,Sphingosine 1-phosphocholine,Sphingosine(d17:1),TG(15:0/18:1(d7)/15:0),TG(18:0_36:2),TG(18:1_34:2),TG(18:1_34:3),TG(20:4_32:1),TG(20:4_34:2),TG(20:4_34:3),TG(20:4_36:0),TG(20:4_36:2),TG(20:4_36:3),TG(22:6_36:2),TG(22:6_38:1),TG(22:6_38:2),lyso-GB3,lyso-GB3-d7,lyso-GB4
HSA-000028163,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.013,N.D.,0.184,0.134,0.338,0.074,0.144,N.D.,N.D.,N.D.,N.D.,N.D.,3.922,0.738,4.508,6.361,2.167,N.D.,0.004,0.004,N.D.,0.775,0.09,0.355,0.177,0.371,0.776,0.116,0.019,N.D.,0.009,0.011,0.032,N.D.,N.D.,N.D.,N.D.,2.089,0.625,1.703,2.113,3.596,N.D.,0.108,0.012,0.193,N.D.,0.094,0.02,0.008,0.003,0.002,0,0,0.172,N.D.,0.018,0.046,0.067,N.D.,215.373,N.D.,821.325,N.D.,27.588,N.D.,9.39E-05,N.D.,N.D.,0.001,0.016,0.001,N.D.,N.D.,4.264,1.26,3.701,1.813,0.632,0.429,0.204,0.239,0.001,0.016,0.003,N.D.,N.D.,N.D.,8.01,15.549,13.569,1.187,15.614,3.399,1.778,4.179,N.D.,5.508,3.692,N.D.,N.D.,6.989,1.829,2.182,6.483,N.D.,N.D.,0.005,0.657,0.005,N.D.,N.D.,N.D.,N.D.,0.239,1.231,0.263,0.107,0.099,0.022,0.018,0.191,0.074,0.089,0.002,0.008,N.D.,N.D.,N.D.
HSA-000028164,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.254,N.D.,5.063,1.567,8.133,4.886,14.2,N.D.,N.D.,N.D.,N.D.,N.D.,6.247,7.121,11.403,29.586,4.327,N.D.,0.028,0.005,N.D.,0.992,0.186,0.539,0.773,1.159,1.063,0.195,0.024,N.D.,0.009,0.022,0.063,N.D.,N.D.,N.D.,N.D.,2.492,6.438,9.63,17.015,33.455,N.D.,0.226,0.014,0.482,N.D.,0.185,0.034,0.013,0.068,0.049,0.003,0.004,0.277,N.D.,0.073,0.096,0.175,N.D.,223.38,N.D.,788.408,N.D.,27.9,N.D.,0,N.D.,N.D.,0.001,0.019,0.005,N.D.,N.D.,4.662,3.316,4.737,2.292,0.809,0.592,0.259,0.379,0.001,0.034,0.008,N.D.,N.D.,N.D.,9.67,26.15,17.823,1.648,19.306,4.68,1.918,4.926,N.D.,6.432,3.443,5.35E-05,N.D.,7.081,2.741,3.52,8.203,N.D.,N.D.,0.093,23.46,0.063,N.D.,N.D.,N.D.,N.D.,0.863,1.775,0.294,0.096,0.094,0.013,0.075,0.329,0.069,0.308,0.02,0.044,N.D.,N.D.,N.D.
HSA-000028166,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.02,N.D.,0.187,0.172,0.501,0.189,0.227,N.D.,N.D.,N.D.,N.D.,N.D.,6.542,2.477,19.527,13.412,4.499,N.D.,0.007,0.013,N.D.,1.129,0.27,0.426,0.384,0.107,0.693,0.201,0.072,N.D.,0.018,0.073,0.104,N.D.,N.D.,N.D.,N.D.,2.477,1.144,6.251,9.405,9.188,N.D.,0.303,0.02,0.537,N.D.,0.15,0.068,0.012,0.018,0.008,0.001,0.001,0.058,N.D.,0.014,0.067,0.049,N.D.,126.046,N.D.,518.993,N.D.,18.481,N.D.,0,N.D.,N.D.,0.007,0.025,0.002,N.D.,N.D.,4.937,2.16,3.68,4.091,2.409,1.173,0.578,0.605,0.001,0.037,0.008,N.D.,N.D.,N.D.,10.418,23.633,11.133,3.797,32.853,5.911,4.996,9.725,N.D.,10.994,4.261,5.09E-05,N.D.,7.583,2.967,5.402,9.732,N.D.,N.D.,0.007,1.426,0.008,N.D.,N.D.,N.D.,N.D.,0.244,0.682,0.156,0.105,0.087,0.031,0.035,0.143,0.089,0.049,0.001,0.004,N.D.,N.D.,N.D.
HSA-000028167,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.069,N.D.,1.195,0.596,6.37,7.195,7.979,N.D.,N.D.,N.D.,N.D.,N.D.,9.428,7.198,25.94,34.589,6.063,N.D.,0.024,0.015,N.D.,1.53,0.38,0.895,1.289,0.161,1.191,0.295,0.08,N.D.,0.017,0.084,0.124,N.D.,N.D.,N.D.,N.D.,3.089,5.692,12.715,21.214,33.602,N.D.,0.471,0.018,0.865,N.D.,0.239,0.064,0.015,0.088,0.051,0.004,0.005,0.09,N.D.,0.052,0.113,0.119,N.D.,143.373,N.D.,528.278,N.D.,17.241,N.D.,0,N.D.,N.D.,0.003,0.014,0.002,N.D.,N.D.,5.47,3.862,4.617,4.244,2.472,1.232,0.662,0.728,0.001,0.036,0.011,N.D.,N.D.,N.D.,11.591,31.855,16.313,4.002,33.799,7.249,4.362,9.32,N.D.,10.712,3.864,0,N.D.,7.572,3.148,5.583,9.922,N.D.,N.D.,0.089,18.171,0.068,N.D.,N.D.,N.D.,N.D.,0.644,1.194,0.208,0.142,0.127,0.027,0.099,0.338,0.141,0.177,0.011,0.025,N.D.,N.D.,N.D.
HSA-000028169,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.015,N.D.,0.184,0.146,0.484,0.14,0.142,N.D.,N.D.,N.D.,N.D.,N.D.,4.139,1.434,6.672,6.629,1.916,N.D.,0.005,0.006,N.D.,0.524,0.177,0.292,0.203,0.124,0.256,0.092,0.026,N.D.,0.011,0.039,0.071,N.D.,N.D.,N.D.,N.D.,1.715,0.776,4.32,6.077,5.644,N.D.,0.362,0.011,0.636,N.D.,0.147,0.055,0.006,0.009,0.004,0,0,0.084,N.D.,0.011,0.047,0.034,N.D.,144.399,N.D.,593.572,N.D.,20.612,N.D.,8.19E-05,N.D.,N.D.,0.008,0.02,0.002,N.D.,N.D.,3.464,1.204,1.792,3.435,1.807,0.326,0.334,0.229,0.001,0.049,0.009,N.D.,N.D.,N.D.,3.244,10.107,3.217,1.531,16.978,2.147,1.389,3.919,N.D.,3.239,1.071,3.15E-05,N.D.,4.078,1.168,1.621,3.556,N.D.,N.D.,0.004,1.229,0.006,N.D.,N.D.,N.D.,N.D.,0.147,0.201,0.031,0.03,0.027,0.007,0.021,0.064,0.04,0.011,0.001,0.001,N.D.,N.D.,N.D.
HSA-000028170,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.155,N.D.,2.665,1.274,14.2,10.502,10.452,N.D.,N.D.,N.D.,N.D.,N.D.,8.038,6.545,16.179,31.62,4.541,N.D.,0.026,0.006,N.D.,1.385,0.469,1.297,1.959,1.096,1.084,0.33,0.032,N.D.,0.013,0.065,0.088,N.D.,N.D.,N.D.,N.D.,2.109,5.738,11.072,18.218,32.149,N.D.,0.681,0.012,1.299,N.D.,0.267,0.064,0.009,0.067,0.043,0.003,0.003,0.163,N.D.,0.061,0.095,0.11,N.D.,284.339,N.D.,1088.906,N.D.,37.914,N.D.,0,N.D.,N.D.,0.003,0.012,0.001,N.D.,N.D.,4.309,3.212,2.673,3.622,1.955,0.472,0.424,0.352,0.001,0.038,0.018,N.D.,N.D.,N.D.,6.006,19.468,10.691,2.032,18.826,4.276,1.733,3.797,N.D.,4.592,1.293,0,N.D.,4.319,1.752,2.336,4.97,N.D.,N.D.,0.1,18.193,0.097,N.D.,N.D.,N.D.,N.D.,0.428,0.49,0.049,0.039,0.035,0.005,0.051,0.146,0.051,0.048,0.007,0.011,N.D.,N.D.,N.D.
HSA-000028172,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.016,N.D.,0.173,0.118,0.293,0.08,0.095,N.D.,N.D.,N.D.,N.D.,N.D.,3.612,1.275,6.032,7.245,2.16,N.D.,0.004,0.007,N.D.,0.53,0.139,0.355,0.191,0.151,0.238,0.078,0.022,N.D.,0.011,0.025,0.043,N.D.,N.D.,N.D.,N.D.,1.703,0.775,3.851,5.317,5.998,N.D.,0.347,0.011,0.699,N.D.,0.154,0.046,0.007,0.009,0.005,0.001,0,0.075,N.D.,0.011,0.039,0.034,N.D.,177.771,N.D.,696.611,N.D.,22.149,N.D.,0,N.D.,N.D.,0.006,0.011,0.001,N.D.,N.D.,3.509,1.133,1.822,3.659,2.021,0.411,0.371,0.298,0.001,0.029,0.009,N.D.,N.D.,N.D.,3.574,10.132,3.83,1.775,18.532,2.626,2.083,3.852,N.D.,4.272,1.425,6.13E-05,N.D.,4.582,1.366,1.822,4.567,N.D.,N.D.,0.004,0.675,0.009,N.D.,N.D.,N.D.,N.D.,0.081,0.138,0.023,0.02,0.018,0.006,0.013,0.035,0.022,0.008,0,0.001,N.D.,N.D.,N.D.
HSA-000028173,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.038,N.D.,0.563,0.349,3.576,2.714,2.477,N.D.,N.D.,N.D.,N.D.,N.D.,6.056,5.736,12.317,28.025,5.08,N.D.,0.014,0.007,N.D.,1.461,0.598,1.575,2.529,0.096,1.191,0.434,0.032,N.D.,0.012,0.039,0.066,N.D.,N.D.,N.D.,N.D.,2.146,5.729,10.235,15.956,30.862,N.D.,0.705,0.012,1.491,N.D.,0.28,0.047,0.009,0.048,0.028,0.002,0.003,0.112,N.D.,0.053,0.075,0.087,N.D.,167.345,N.D.,691.278,N.D.,23.48,N.D.,0.001,N.D.,N.D.,0.003,0.013,0.002,N.D.,N.D.,4.502,3.325,2.948,3.814,2.15,0.652,0.498,0.467,0.001,0.029,0.018,N.D.,N.D.,N.D.,8.041,22.307,15.063,3.026,22.571,5.686,2.734,4.773,N.D.,6.241,2.026,0,N.D.,4.876,2.097,2.628,5.928,N.D.,N.D.,0.056,10.658,0.049,N.D.,N.D.,N.D.,N.D.,0.251,0.304,0.039,0.031,0.03,0.006,0.033,0.106,0.045,0.041,0.005,0.008,N.D.,N.D.,N.D.
HSA-000028175,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.016,N.D.,0.206,0.166,0.542,0.187,0.256,N.D.,N.D.,N.D.,N.D.,N.D.,4.119,0.871,5.045,6.844,1.772,N.D.,0.004,0.005,N.D.,1.107,0.228,0.336,0.24,0.232,1.134,0.27,0.019,N.D.,0.004,0.014,0.037,N.D.,N.D.,N.D.,N.D.,2.244,0.649,1.728,2.495,4.11,N.D.,0.115,0.007,0.228,N.D.,0.067,0.017,0.005,0.004,0.002,0,0.001,0.175,N.D.,0.018,0.051,0.069,N.D.,142.87,N.D.,484.19,N.D.,23.039,N.D.,0,N.D.,N.D.,0.003,0.024,0.002,N.D.,N.D.,4.084,1.28,3.232,2.28,0.773,0.474,0.223,0.259,0.001,0.032,0.004,N.D.,N.D.,N.D.,6.672,15.178,10.443,1.321,17.209,3.295,1.638,4.544,N.D.,5.015,3.047,3.04E-05,N.D.,6.391,1.743,2.198,5.955,N.D.,N.D.,0.006,0.744,0.005,N.D.,N.D.,N.D.,N.D.,0.309,1.074,0.238,0.166,0.177,0.036,0.03,0.339,0.156,0.13,0.003,0.011,N.D.,N.D.,N.D.
HSA-000028176,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.187,N.D.,3.751,1.361,9.716,5.575,10.911,N.D.,N.D.,N.D.,N.D.,N.D.,6.564,6.522,10.141,28.788,4.974,N.D.,0.017,0.006,N.D.,1.898,0.624,1.27,2.131,1.339,2.26,0.688,0.021,N.D.,0.008,0.013,0.048,N.D.,N.D.,N.D.,N.D.,1.984,6.911,9.093,16.294,32.624,N.D.,0.465,0.012,0.925,N.D.,0.237,0.032,0.01,0.05,0.036,0.003,0.003,0.245,N.D.,0.064,0.078,0.134,N.D.,119.034,N.D.,421.55,N.D.,19.796,N.D.,0.001,N.D.,N.D.,0.003,0.026,0.001,N.D.,N.D.,4.419,3.434,3.925,2.602,1.034,0.595,0.261,0.403,0.001,0.04,0.015,N.D.,N.D.,N.D.,9.773,25.395,17.844,2.157,18.39,5.855,2.108,4.591,N.D.,6.17,2.823,0,N.D.,5.973,2.486,2.974,6.804,N.D.,N.D.,0.23,19.453,0.18,N.D.,N.D.,N.D.,N.D.,0.835,1.469,0.241,0.152,0.163,0.022,0.091,0.492,0.151,0.342,0.022,0.048,N.D.,N.D.,N.D.
HSA-000028178,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.042,N.D.,0.272,0.421,0.97,0.217,0.311,N.D.,N.D.,N.D.,N.D.,N.D.,5.49,1.947,11.971,10.691,2.752,N.D.,0.005,0.009,N.D.,0.7,0.243,0.321,0.275,0.204,0.576,0.178,0.029,N.D.,0.012,0.002,0.054,N.D.,N.D.,N.D.,N.D.,1.422,0.628,3.965,6.187,5.466,N.D.,0.323,0.012,0.612,N.D.,0.134,0.044,0.007,0.013,0.006,0.001,0.001,0.051,N.D.,0.008,0.036,0.026,N.D.,108.872,N.D.,376.252,N.D.,17.044,N.D.,0,N.D.,N.D.,0.007,0.028,0.002,N.D.,N.D.,3.991,1.572,2.487,3.395,1.931,0.642,0.412,0.445,0.001,0.048,0.01,N.D.,N.D.,N.D.,5.062,13.683,5.164,1.847,20.622,2.76,2.251,5.41,N.D.,5.67,1.969,N.D.,N.D.,5.14,1.675,3.08,5.944,N.D.,N.D.,0.008,0.86,0.006,N.D.,N.D.,N.D.,N.D.,0.157,0.361,0.069,0.058,0.057,0.016,0.03,0.114,0.069,0.033,0.001,0.003,N.D.,N.D.,N.D.
HSA-000028179,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.07,N.D.,1.165,0.612,6.247,6.469,8.212,N.D.,N.D.,N.D.,N.D.,N.D.,7.111,7.291,19.646,31.858,5.975,N.D.,0.019,0.007,N.D.,1.261,0.512,1.174,1.92,0.119,1.251,0.462,0.041,N.D.,0.02,0.046,0.07,N.D.,N.D.,N.D.,N.D.,1.949,6.276,11.779,19.176,33.76,N.D.,0.602,0.011,1.204,N.D.,0.218,0.041,0.01,0.069,0.043,0.003,0.004,0.087,N.D.,0.052,0.08,0.082,N.D.,118.37,N.D.,438.425,N.D.,19.872,N.D.,0,N.D.,N.D.,0.005,0.026,0.002,N.D.,N.D.,4.907,3.749,3.741,3.719,2.117,0.885,0.551,0.593,0.001,0.045,0.019,N.D.,N.D.,N.D.,9.144,25.766,15.354,2.942,23.633,5.915,2.829,6.172,N.D.,7.182,2.526,0,N.D.,5.56,2.319,3.909,7.056,N.D.,N.D.,0.174,15.697,0.144,N.D.,N.D.,N.D.,N.D.,0.419,0.569,0.078,0.06,0.059,0.01,0.069,0.216,0.069,0.115,0.01,0.021,N.D.,N.D.,N.D.
HSA-000028181,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.017,N.D.,0.183,0.13,0.416,0.145,0.133,N.D.,N.D.,N.D.,N.D.,N.D.,4.316,1.648,9.216,7.657,2.183,N.D.,0.006,0.01,N.D.,0.6,0.189,0.322,0.168,0.641,0.37,0.091,0.024,N.D.,0.013,0.058,0.089,N.D.,N.D.,N.D.,N.D.,1.859,1.006,6.05,8.251,6.9,N.D.,0.286,0.01,0.573,N.D.,0.109,0.075,0.007,0.013,0.007,0.001,0.001,0.067,N.D.,0.014,0.044,0.035,N.D.,109.261,N.D.,415.044,N.D.,14.483,N.D.,9.85E-05,N.D.,N.D.,0.009,0.021,0.003,N.D.,N.D.,3.838,1.544,2.27,3.826,2.318,0.486,0.504,0.345,0.001,0.062,0.01,N.D.,N.D.,N.D.,4.002,13.701,4.252,2.07,20.949,3.019,1.952,5.717,N.D.,5.413,1.508,4.76E-05,N.D.,4.551,1.555,2.281,4.396,N.D.,N.D.,0.006,1.134,0.006,N.D.,N.D.,N.D.,N.D.,0.155,0.185,0.029,0.026,0.028,0.008,0.023,0.064,0.042,0.013,0.001,0.001,N.D.,N.D.,N.D.
HSA-000028182,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.175,N.D.,3.588,1.492,14.969,15.23,16.609,N.D.,N.D.,N.D.,N.D.,N.D.,9.343,7.917,23.212,37.703,4.812,N.D.,0.039,0.008,N.D.,1.235,0.434,1.113,1.793,0.185,1.207,0.39,0.034,N.D.,0.017,0.073,0.095,N.D.,N.D.,N.D.,N.D.,2.389,6.19,13.391,19.763,33.611,N.D.,0.724,0.01,1.412,N.D.,0.24,0.042,0.007,0.078,0.045,0.003,0.005,0.146,N.D.,0.072,0.13,0.133,N.D.,95.875,N.D.,374.303,N.D.,16.642,N.D.,0,N.D.,N.D.,0.005,0.019,0.002,N.D.,N.D.,4.344,3.342,3.024,3.741,2.206,0.645,0.49,0.461,0.001,0.059,0.02,N.D.,N.D.,N.D.,6.474,21.674,11.312,2.317,21.189,4.673,1.94,4.42,N.D.,5.285,1.411,0,N.D.,4.648,1.985,2.761,5.505,N.D.,N.D.,0.129,19.253,0.109,N.D.,N.D.,N.D.,N.D.,0.488,0.501,0.053,0.038,0.036,0.005,0.058,0.155,0.048,0.06,0.007,0.012,N.D.,N.D.,N.D.
HSA-000028184,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.018,N.D.,0.188,0.152,0.34,0.107,0.117,N.D.,N.D.,N.D.,N.D.,N.D.,3.931,1.58,8.849,8.001,2.43,N.D.,0.005,0.008,N.D.,0.379,0.091,0.243,0.141,0.406,0.248,0.05,0.023,N.D.,0.009,0.035,0.056,N.D.,N.D.,N.D.,N.D.,1.842,0.964,5.312,8.13,7.215,N.D.,0.311,0.009,0.655,N.D.,0.119,0.045,0.006,0.013,0.007,0.001,0.001,0.074,N.D.,0.013,0.05,0.038,N.D.,133.741,N.D.,483.834,N.D.,22.286,N.D.,0,N.D.,N.D.,0.008,0.018,0.003,N.D.,N.D.,3.695,1.368,2.214,3.824,2.346,0.561,0.439,0.408,0.001,0.048,0.011,N.D.,N.D.,N.D.,4.346,12.757,4.97,2.228,22.535,3.206,2.455,4.786,N.D.,5.943,1.91,3.23E-05,N.D.,4.73,1.648,2.4,5.131,N.D.,N.D.,0.003,0.988,0.005,N.D.,N.D.,N.D.,N.D.,0.076,0.137,0.024,0.018,0.018,0.007,0.014,0.038,0.024,0.011,0.001,0.001,N.D.,N.D.,N.D.
HSA-000028185,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.059,N.D.,0.747,0.47,4.378,4.263,3.85,N.D.,N.D.,N.D.,N.D.,N.D.,7.705,7.602,18.773,34.814,7.178,N.D.,0.02,0.009,N.D.,1.418,0.616,1.788,2.81,0.128,1.268,0.455,0.029,N.D.,0.009,0.044,0.06,N.D.,N.D.,N.D.,N.D.,2.309,6.541,12.404,19.453,34.612,N.D.,0.845,0.013,1.626,N.D.,0.297,0.046,0.009,0.061,0.035,0.003,0.004,0.111,N.D.,0.057,0.09,0.094,N.D.,140.057,N.D.,531.533,N.D.,21.728,N.D.,0,N.D.,N.D.,0.008,0.027,0.003,N.D.,N.D.,4.681,3.613,3.298,3.975,2.397,0.813,0.585,0.566,0.002,0.064,0.025,N.D.,N.D.,N.D.,9.462,26.749,17.19,3.522,25.799,6.69,3.31,5.716,N.D.,7.602,2.229,0,N.D.,5.002,2.369,3.169,6.385,N.D.,N.D.,0.019,13.731,0.015,N.D.,N.D.,N.D.,N.D.,0.232,0.225,0.029,0.022,0.019,0.004,0.032,0.08,0.032,0.031,0.004,0.007,N.D.,N.D.,N.D.
HSA-000028400,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.08,N.D.,1.108,0.553,3.548,2.139,3.421,N.D.,N.D.,N.D.,N.D.,N.D.,5.427,3.061,10.287,17.277,3.571,N.D.,0.009,0.006,N.D.,0.994,0.259,0.632,0.859,0.418,0.83,0.232,0.034,N.D.,0.01,0.042,0.066,N.D.,N.D.,N.D.,N.D.,1.913,2.665,6.102,9.968,17.975,N.D.,0.385,0.012,0.733,N.D.,0.171,0.045,0.009,0.026,0.016,0.001,0.001,0.102,N.D.,0.031,0.06,0.071,N.D.,149.005,N.D.,544.378,N.D.,20.761,N.D.,0,N.D.,N.D.,0.007,0.026,0.003,N.D.,N.D.,4.185,2.423,2.917,3.33,1.747,0.594,0.382,0.38,0.001,0.05,0.012,N.D.,N.D.,N.D.,6.701,16.786,9.591,2.086,19.733,3.872,2.284,4.615,N.D.,5.795,2.287,9.14E-05,N.D.,5.495,1.93,2.914,6.455,N.D.,N.D.,0.029,7.233,0.025,N.D.,N.D.,N.D.,N.D.,0.303,0.627,0.11,0.057,0.054,0.012,0.032,0.138,0.06,0.072,0.005,0.01,N.D.,N.D.,N.D.
HSA-000028401,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.101,N.D.,1.144,0.683,4.091,2.198,3.683,N.D.,N.D.,N.D.,N.D.,N.D.,4.965,2.85,9.277,16.279,2.964,N.D.,0.012,0.006,N.D.,0.965,0.254,0.629,0.769,0.385,0.795,0.203,0.036,N.D.,0.01,0.04,0.056,N.D.,N.D.,N.D.,N.D.,1.8,2.558,5.91,9.646,17.143,N.D.,0.389,0.013,0.759,N.D.,0.174,0.05,0.009,0.026,0.016,0.001,0.002,0.104,N.D.,0.029,0.055,0.067,N.D.,158.461,N.D.,582.754,N.D.,21.306,N.D.,0,N.D.,N.D.,0.007,0.026,0.002,N.D.,N.D.,4.181,2.355,2.908,3.331,1.711,0.596,0.375,0.38,0.001,0.052,0.011,N.D.,N.D.,N.D.,6.601,17.009,9.43,2.033,19.96,3.881,2.206,4.617,N.D.,5.794,2.246,0,N.D.,5.531,1.861,2.841,6.245,N.D.,N.D.,0.038,6.441,0.025,N.D.,N.D.,N.D.,N.D.,0.286,0.613,0.102,0.054,0.05,0.012,0.034,0.135,0.053,0.063,0.005,0.011,N.D.,N.D.,N.D.
HSA-000028402,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.072,N.D.,0.95,0.478,2.873,1.765,2.886,N.D.,N.D.,N.D.,N.D.,N.D.,5.126,2.928,9.714,16.289,3.092,N.D.,0.009,0.006,N.D.,0.993,0.262,0.645,0.775,0.398,0.728,0.211,0.028,N.D.,0.016,0.056,0.077,N.D.,N.D.,N.D.,N.D.,1.833,2.453,5.832,9.222,16.233,N.D.,0.398,0.014,0.74,N.D.,0.173,0.053,0.01,0.027,0.016,0.001,0.002,0.102,N.D.,0.028,0.057,0.068,N.D.,160.658,N.D.,570.612,N.D.,20.926,N.D.,0,N.D.,N.D.,0.006,0.024,0.002,N.D.,N.D.,4.151,2.364,2.927,3.331,1.748,0.572,0.379,0.374,0.001,0.052,0.012,N.D.,N.D.,N.D.,6.375,16.568,9.206,2.011,19.544,3.72,2.224,4.772,N.D.,5.665,2.272,0,N.D.,5.567,1.898,2.946,6.305,N.D.,N.D.,0.037,7.136,0.029,N.D.,N.D.,N.D.,N.D.,0.277,0.622,0.103,0.056,0.052,0.011,0.034,0.138,0.055,0.066,0.005,0.01,N.D.,N.D.,N.D.
HSA-000028403,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.063,N.D.,0.926,0.424,2.759,1.687,2.643,N.D.,N.D.,N.D.,N.D.,N.D.,4.682,2.861,9.508,16.16,3.061,N.D.,0.008,0.006,N.D.,0.97,0.239,0.691,0.761,0.408,0.817,0.21,0.027,N.D.,0.013,0.042,0.088,N.D.,N.D.,N.D.,N.D.,1.807,2.487,5.816,9.201,16.778,N.D.,0.398,0.014,0.761,N.D.,0.176,0.056,0.011,0.027,0.016,0.001,0.002,0.103,N.D.,0.027,0.056,0.063,N.D.,171.795,N.D.,630.14,N.D.,23.385,N.D.,0,N.D.,N.D.,0.006,0.024,0.002,N.D.,N.D.,4.272,2.413,2.978,3.356,1.786,0.57,0.384,0.374,0.001,0.05,0.011,N.D.,N.D.,N.D.,6.359,16.927,9.242,1.949,19.928,3.551,2.292,4.675,N.D.,5.659,2.308,8.86E-05,N.D.,5.421,1.888,2.869,6.183,N.D.,N.D.,0.035,7.699,0.028,N.D.,N.D.,N.D.,N.D.,0.29,0.632,0.101,0.055,0.05,0.011,0.034,0.129,0.054,0.068,0.005,0.01,N.D.,N.D.,N.D.
